id,display_name,description_id,description_en
1,Kedai Roti Ibu Saya,"Menghadirkan kehangatan dan cita rasa panggangan rumahan di Jalan Limo Raya. Spesialisasi pada roti artisan, kue-kue klasik, dan panggangan segar yang dibuat dengan sentuhan personal, ideal untuk sarapan atau camilan sore hari.","Brings the warmth and taste of home baking to Jalan Limo Raya. Specializing in artisanal bread, classic cakes, and fresh bakes with a personal touch, ideal for breakfast or an afternoon snack."
2,Kopitagram - Cinere,"Cabang dari brand kopi modern yang populer, menjadi hotspot di Cinere. Dikenal dengan interior estetis, tempat ini sempurna untuk hangout sambil menikmati kopi susu modern, minuman kreatif, atau bekerja dari kafe.","A branch of the popular modern coffee brand, serving as a hotspot in Cinere. Known for its aesthetic interior, this place is perfect for hanging out, enjoying modern milk-based coffee, creative drinks, or working from a cafe."
3,Toko Kopi TUKU - Cinere Limo,"Destinasi wajib bagi pecinta kopi, TUKU adalah salah satu pelopor ""Es Kopi Susu Tetangga"" yang legendaris. Gerai di Cinere Limo ini menyajikan perpaduan kopi, susu, dan gula aren yang ikonik serta biji kopi berkualitas.","A must-visit for coffee lovers, TUKU is a pioneer of the legendary ""Es Kopi Susu Tetangga"" (Neighbor's Iced Coffee Milk). This Cinere Limo outlet serves the iconic blend of coffee, milk, and palm sugar, as well as quality coffee beans."
4,Kirana Resto & Cafe,"Solusi kuliner one-stop di Limo. Menggabungkan konsep restoran untuk makan berat dan kafe untuk bersantai, tempat ini melayani berbagai kebutuhan, mulai dari makan siang keluarga hingga ngopi santai.","A one-stop culinary solution in Limo. Combining a restaurant concept for full meals and a cafe for relaxing, this place serves various needs, from family lunches to casual coffee breaks."
5,PARCO Coffee and Eatery,"Sebuah destinasi modern di Cinere Raya yang menyeimbangkan antara kopi spesialti dan hidangan eatery yang substansial. Dengan suasana yang chic, PARCO ideal untuk brunch, makan siang, atau pertemuan santai.","A modern destination on Cinere Raya that balances specialty coffee with substantial eatery dishes. With a chic atmosphere, PARCO is ideal for brunch, lunch, or casual meetings."
7,Tempong PNS Cinere,"Spesialis Nasi Tempong khas Banyuwangi di Limo. Restoran ini adalah surga bagi pencari sensasi pedas, menyajikan nasi dengan lauk segar dan sambal dadak mentah yang terkenal super pedas.","Specializes in Nasi Tempong from Banyuwangi, located in Limo. This restaurant is a haven for spice seekers, serving rice with fresh side dishes and an infamously super-spicy raw sambal dadak."
9,BERLARIS KOPI DAN RESTO,"Bisnis dual-concept di Pamulang. Berfungsi sebagai kedai kopi modern untuk ngopi dan tempat nongkrong, sekaligus sebagai restoran yang menyajikan menu makanan lengkap untuk sarapan, makan siang, dan makan malam.","A dual-concept business in Pamulang. Serves as a modern coffee shop for coffee and hanging out, as well as a ""Resto"" (restaurant) providing a full food menu for breakfast, lunch, and dinner."
10,Tempat Ngupi,"Menawarkan suasana 'ngopi' yang santai, kasual, dan 'membumi' di Cinere. Jauh dari kesan pretensius, tempat ini dirancang untuk kenyamanan, serasa menikmati kopi di rumah teman sendiri.","Offers a relaxed, casual, and 'down-to-earth' coffee vibe in Cinere. Far from pretentious, this place is designed for comfort, feeling just like enjoying coffee at a friend's house."
12,Warkopin Ajaa Limo,"Versi modern dan upgrade dari ""Warkop"" tradisional. Menjadi tempat nongkrong favorit di Limo, menyajikan menu esensial seperti Indomie, roti bakar, dan kopi dalam suasana yang lebih bersih dan nyaman.","A modern, upgraded version of the traditional ""Warkop"" (coffee stall). A favorite hangout spot in Limo, serving essentials like Indomie, toast, and coffee in a cleaner, more comfortable setting."
14,Foresthree Coffee Limo,"Oase teduh di Limo. Dikenal dengan konsep green-living dan interior rimbun, kafe ini menawarkan suasana sejuk dan tenang untuk menikmati berbagai minuman kopi dan non-kopi yang menyegarkan.","A shady oasis in Limo. Known for its green-living concept and lush interior, this cafe offers a cool, calm atmosphere to enjoy various refreshing coffee and non-coffee drinks."
15,Bakmi Kun - Cinere Limo,"Destinasi utama bagi para pecinta bakmi di Cinere Raya. Restoran ini mengkhususkan diri pada hidangan mie, kemungkinan dengan resep warisan atau bumbu khas ""Kun"" yang unik.","A prime destination for noodle lovers on Cinere Raya. This restaurant specializes in noodle dishes, possibly with a heritage recipe or a unique ""Kun"" signature seasoning."
17,Coffeelight,"Sebuah kedai kopi lokal yang berlokasi di area perumahan Limo, melayani kebutuhan kopi harian warga sekitar. Catatan: Status usaha ini terdaftar sebagai 'Tutup Sementara' per data terakhir (Nov 2025).","A local coffee shop in a residential area of Limo, serving the daily coffee needs of residents. Note: This business's status is listed as 'Temporarily Closed' per the latest data (Nov 2025)."
18,"Spesial Soto Boyolali (SSb) Hj. Hesti, Cabang Cinere 2 Jl. Jawa","Membawa cita rasa otentik Soto Boyolali ke Cinere. Dikenal dengan kuah bening, segar, dan kaya rempah, disajikan dalam mangkuk kecil yang khas. Pilihan tepat untuk sarapan atau makan siang yang menghangatkan.","Brings the authentic taste of Soto Boyolali to Cinere. Known for its clear, fresh, and aromatic broth served in a distinctive small bowl. A perfect choice for a warming breakfast or lunch."
19,Florista Sekar,"Toko bunga profesional di Jalan Limo Raya. Melayani berbagai kebutuhan seperti karangan bunga duka cita, standing flower ucapan selamat, bouquet bunga segar untuk hadiah, dan dekorasi tanaman.","A professional florist on Jalan Limo Raya. Serves various needs such as condolence wreaths, congratulatory standing flowers, fresh bouquets for gifts, and plant decorations."
20,Toko sparepart ac || home teknik,Toko khusus yang menyediakan suku cadang (spare part) untuk Air Conditioner (AC) dan peralatan teknik rumah tangga. Kemungkinan juga menawarkan jasa servis atau instalasi AC.,A specialty store providing spare parts for Air Conditioners (AC) and other home technical equipment. Likely also offers AC service or installation.
21,WŌRK-UNUSUAL JAKARTA,"Sebuah kafe dan eatery modern di Lebak Bulus yang berfungsi sebagai creative space. Menawarkan menu unik seperti Brulee Ubi Madu dan Corn Ribs Adobo, serta kopi spesialti seperti Unusual Blend (Ijen & Argopuro) dan Black Pistachio.","A modern coffee shop and eatery in Lebak Bulus that doubles as a creative space. Offers unique menus like Brulee Ubi Madu and Corn Ribs Adobo, plus specialty coffee like the Unusual Blend (Ijen & Argopuro) and Black Pistachio."
23,Blenger Burger,"Blenger Burger adalah destinasi legendaris di Pondok Labu bagi pecinta burger. Terkenal dengan porsinya yang besar dan penggunaan mayones creamy spesial yang melimpah. Menu andalannya mencakup Beef Burger, Cheese Burger X2 (dengan telur & smoked beef) , Chilli Dog, dan menu unik KBOC (Klenger Burger Omelette Cheese).","Blenger Burger is a legendary destination in Pondok Labu for burger lovers. Famous for its large portions and abundant special creamy mayonnaise. Its flagship menu includes Beef Burger, Cheese Burger X2 (with egg & smoked beef) , Chilli Dog, and the unique KBOC (Klenger Burger Omelette Cheese)."
26,Sky Pasta Cinere,"Spesialis hidangan pasta dan masakan Italia di Pangkalan Jati. Destinasi bagi warga Cinere yang mencari hidangan seperti spaghetti, fettuccine, dan pasta lainnya dengan berbagai pilihan saus.","Specializes in pasta and Italian cuisine in Pangkalan Jati. A destination for Cinere residents seeking dishes like spaghetti, fettuccine, and other pastas with various sauce options."
30,"Warung Sate & Tongseng Pak H.Budi, Fatmawati","Spesialis masakan otentik Jawa dengan suasana bersahaja dan familiar. Tempat ini ideal untuk keluarga, menawarkan menu andalan seperti Sate (Kambing, Ayam, Sapi), Tongseng, Gulai, Tengkleng, dan Sop Kambing/Sapi.","Specializes in authentic Javanese cuisine with a down-to-earth and familiar atmosphere. Ideal for families, offering flagship menus like Satay (Goat, Chicken, Beef), Tongseng, Gulai, Tengkleng, and Goat/Beef Soup."
